ETM Var no.,Euclidean Independent?,Equivalent?,Simplex / SYNsimplex,Simplex count,Simplex group size,Remove/set as X,Synthetic?,Design VAR no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Range formula,Min,Max,Min formula,Max formula,Unnamed: 20,Unnamed: 21,Unnamed: 22
607,,,,,,Set to ON,,243,Flexibility,Electricity storage,Batteries in households,Forecasting algorithm,,,,,,,,,,
608,Euclidean Independent,,,,,,,244,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Deployable capacity,,0 to 100%,0,100%,0,100,,,
609,Euclidean Independent,,,,,,,245,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Relative storage volume,,ETM min max,0.5,30,0.5,30,,,
610,Euclidean Independent,,,,,,,246,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Deployable capacity,,0 to 100%,0,100%,0,100,,,
611,Euclidean Independent,,,,,,,247,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Relative storage volume,,ETM min max,0.5,30,0.5,30,,,
612,Euclidean Independent,,,,,,,248,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Deployable capacity,,0 to 100%,0,100%,0,100,,,
613,Euclidean Independent,,,,,,,249,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Relative storage volume,,ETM min max,0.5,30,0.5,30,,,
614,Euclidean Independent,,,,,,,250,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Deployable capacity,,0 to 100%,0,100%,0,100,,,
615,Euclidean Independent,,,,,,,251,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Relative storage volume,,ETM min max,0.5,30,0.5,30,,,
SYN.STOR-MW,Euclidean Independent,,,,,,Synthetic,252,,,,Total dedicated storage capacity,,,FES 2025 (highest scenario),0,40400,0,40400,,,
619,,,SYNsimplex,1,,,,253,Flexibility,Large-scale batteries,Technical specifications,Installed capacity,,,Simplex of total ^,0,40400,0,40400,,,
620,Euclidean Independent,,,,,,,254,Flexibility,Large-scale batteries,Technical specifications,Relative storage volume,,,ETM min max,0.5,30,0.5,30,,,
624,,,SYNsimplex,1,,,,255,Flexibility,Reservoirs,Technical specifications,Installed capacity,,,Simplex of total ^,0,40400,0,40400,,,
625,Euclidean Independent,,,,,,,256,Flexibility,Reservoirs,Technical specifications,Relative storage volume,,,ETM min max,0.5,100,0.5,100,,,
629,,,SYNsimplex,1,,,,257,Flexibility,Underground pumped hydro storage,Technical specifications,Installed capacity,,,Simplex of total ^,0,40400,0,40400,,,
630,Euclidean Independent,,,,,,,258,Flexibility,Underground pumped hydro storage,Technical specifications,Relative storage volume,,,ETM min max,0.5,100,0.5,100,,,
634,,,SYNsimplex,1,4,,,259,Flexibility,Flow batteries,Technical specifications,Installed capacity,,,Simplex of total ^,0,40400,0,40400,,,
635,Euclidean Independent,,,,,,,260,Flexibility,Flow batteries,Technical specifications,Relative storage volume,,,ETM min max,0.5,100,0.5,100,,,
639,Euclidean Independent,,,,,,,261,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative grid connection capacity,,,0 to 100%,0,100%,0,100,,,
640,Euclidean Independent,,,,,,,262,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative battery capacity,,,ETM min max,0,500%,0,500,,,
641,Euclidean Independent,,,,,,,263,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative storage volume,,,ETM min max,0.5,30,0.5,30,,,
642,Euclidean Independent,,,,,,,264,Flexibility,Solar plants with storage systems,Solar PV plants,Relative grid connection capacity,,,0 to 100%,0,100%,0,100,,,
643,Euclidean Independent,,,,,,,265,Flexibility,Solar plants with storage systems,Solar PV plants,Relative battery capacity,,,ETM min max,0,500%,0,500,,,
644,Euclidean Independent,,,,,,,266,Flexibility,Solar plants with storage systems,Solar PV plants,Relative storage volume,,,ETM min max,0.5,30,0.5,30,,,
667,Euclidean Independent,,,,,,,267,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV households,,0 to yr max for a region,0%,32%,0,32,,,
668,Euclidean Independent,,,,,,,268,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV buildings,,0 to yr max for a region,0%,32%,0,32,,,
669,Euclidean Independent,,,,,,,269,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants,,0 to yr max for a region,0%,32%,0,32,,,
670,Euclidean Independent,,,,,,,270,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants offshore,,0 to yr max for a region,0%,32%,0,32,,,
674,Euclidean Independent,,,,,,,271,Flexibility,Net load,Demand response - load shifting in industry,Load shifting metal industry,Load reduction capacity,,0 to 50%,0,50%,0,50,,,
675,Euclidean Independent,,,,,,,272,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,0 to 50%,0,50%,0,50,,,
676,Euclidean Independent,,,,,,,273,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM min max,0.1,3000,0.1,3000,,,
677,Euclidean Independent,,,,,,,274,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM min max,0,500,0,500,,,
678.EQ.674,Euclidean Independent,,,,,,,275,Flexibility,Net load,Demand response - load shifting in industry,Load shifting chemical industry,Load reduction capacity,,0 to 50%,0,50%,0,50,,,
679.EQ.675,Euclidean Independent,,,,,,,276,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,0 to 50%,0,50%,0,50,,,
680.EQ.676,Euclidean Independent,,,,,,,277,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM min max,0.1,3000,0.1,3000,,,
681.EQ.677,Euclidean Independent,,,,,,,278,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM min max,0,500,0,500,,,
682.EQ.674,Euclidean Independent,,,,,,,279,Flexibility,Net load,Demand response - load shifting in industry,Load shifting other industry,Load reduction capacity,,0 to 50%,0,50%,0,50,,,
683.EQ.675,Euclidean Independent,,,,,,,280,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,0 to 50%,0,50%,0,50,,,
684.EQ.676,Euclidean Independent,,,,,,,281,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM min max,0.1,3000,0.1,3000,,,
685.EQ.677,Euclidean Independent,,,,,,,282,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM min max,0,500,0,500,,,
686.EQ.674,Euclidean Independent,,,,,,,283,Flexibility,Net load,Demand response - load shifting in industry,Load shifting ICT,Load reduction capacity,,0 to 50%,0,50%,0,50,,,
687.EQ.675,Euclidean Independent,,,,,,,284,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,0 to 50%,0,50%,0,50,,,
688.EQ.676,Euclidean Independent,,,,,,,285,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM min max,0.1,3000,0.1,3000,,,
689.EQ.677,Euclidean Independent,,,,,,,286,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM min max,0,500,0,500,,,
690,,,Simplex,1,,,,287,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Public charging,,0 to 100% simplex,0,100%,0,100,,,
691,,,Simplex,1,,,,288,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at home,,0 to 100% simplex,0,100%,0,100,,,
692,,,Simplex,1,,,,289,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Fast charging,,0 to 100% simplex,0,100%,0,100,,,
693.COM.692,,,Simplex,1,4,,,290,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at work,,0 to 100% simplex,0,100%,0,100,,,
700,,,,,,Set as 0,,291,Flexibility,Import/Export,Interconnector 1,Interconnector capacity,,,,,,,,,,
706,,,,,,Set as 0,,292,Flexibility,Import/Export,Interconnector 2 to 12,Interconnector capacity,,,,,,,,,,
712,Euclidean Independent,,,,,,,293,Flexibility,Weather conditions,Temperature,Outdoor temperature,,,-0.5C to +3.5C,-0.5,3.5,-0.5,3.5,,,
713,Euclidean Independent,,,,,,,294,Flexibility,Weather conditions,Full load hours,Onshore inland,,,ETM range,2482,3500,2482,3500,,,
714,Euclidean Independent,,,,,,,295,Flexibility,Weather conditions,Full load hours,Onshore coastal,,,ETM range,3174,4500,3174,4500,,,
715,Euclidean Independent,,,,,,,296,Flexibility,Weather conditions,Full load hours,Offshore,,,ETM range,3174,6500,3174,6500,,,
717,Euclidean Independent,,,,,,,297,Flexibility,Weather conditions,Full load hours,Solar PV,,,ETM range,755,1361,755,1361,,,
772,Euclidean Independent,,,,,,,298,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Ammonia,,,0 to ETM default,0,348,0,348,,,
918,Euclidean Independent,,,,,,,299,Costs & efficiencies,Transport,Electric vehicles,,,,ETM min max,0,3%,0,3,,,
919,Euclidean Independent,,,,,,,300,Costs & efficiencies,Transport,Hydrogen vehicles,,,,ETM min max,0,3%,0,3,,,
920,Euclidean Independent,,,,,,,301,Costs & efficiencies,Transport,Combustion engine vehicles,,,,ETM min max,0,3%,0,3,,,
921,Euclidean Independent,,,,,,,302,Costs & efficiencies,Transport,Trains,,,,ETM min max,0,3%,0,3,,,
922,Euclidean Independent,,,,,,,303,Costs & efficiencies,Transport,Ships,,,,ETM min max,0,3%,0,3,,,
923,Euclidean Independent,,,,,,,304,Costs & efficiencies,Transport,Airplanes,,,,ETM min max,0,3%,0,3,,,
933,Euclidean Independent,,,,,,,305,Costs & efficiencies,Flexibility,Value of lost load,Value of lost load (VoLL),,,ETM min max,300,20000,300,20000,,,
939,Euclidean Independent,,,,,,,306,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Batteries in households,,ETM range,80%,100%,80,100,,,
940,Euclidean Independent,,,,,,,307,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Batteries in electric vehicles,,ETM range,77%,97%,77,97,,,
941,Euclidean Independent,,,,,,,308,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Large-scale batteries,,ETM range,75%,95%,75,95,,,
942,Euclidean Independent,,,,,,,309,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Reservoirs,,ETM range,70%,90%,70,90,,,
943,Euclidean Independent,,,,,,,310,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Underground pumped hydro storage,,ETM range,70%,90%,70,90,,,
944,Euclidean Independent,,,,,,,311,Costs & efficiencies,Flexibility,Electricity storage,Round-trip efficiency,Flow batteries,,ETM range,60%,80%,60,80,,,
,,,Simplex D,159,,EI D:,114,,,,,,,,,,,,,,,
,,,Simplex D check,160,,Equivalent D:,27,,,,,,,,,,,,,,,
,,,Simplex D loss,42,,Static D:,10,,,,,,,,,,,,,,,
,,,Actual D,231,,Total D:,311,,,,,,,,,,,,,,,
,,,,,,Total D check:,310,,,,,,,,,,,,,,,
,,,Parent EI D:,SYN.29,,,,,,,,,,,,,,,,,,
,,,,SYN.GEN,,,Child Simplex D:,Parent EI D:,,,,,,,,,,,,,,
,,,,SYN.STOR-MW,,,118,SYN.29,,,,,,,,,,,,,,
,,,,,,,119.COM.118,SYN.29,,,,,,,,,,,,,,
,,,,,,,370,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,379,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,384,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,385,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,386,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,388,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,389,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,390,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,391,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,392,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,394,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,395,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,398,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,400,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,401,SYN.GEN,,,,,,,,,,,,,,
,,,,,,,619,SYN.STOR-MW,,,,,,,,,,,,,,
,,,,,,,624,SYN.STOR-MW,,,,,,,,,,,,,,
,,,,,,,629,SYN.STOR-MW,,,,,,,,,,,,,,
,,,,,,,634,SYN.STOR-MW,,,,,,,,,,,,,,
